PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1260 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=1375 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1484 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1602 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1525 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1478 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1464 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1430 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1425 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1439 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1475 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1443 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1357 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1292 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1240 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1193 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1148 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1096 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1044 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=936 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=959 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=962 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=926 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=727 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=747 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=784 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=789 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=811 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=823 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=833 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=841 ms
